enc_region;IH_residencia_habitual;rph_edad;rph_sexo;rph_nacionalidad;rph_nivel;rph_estadocivil;rph_situacion_laboral_a;rph_nse;P_AUMENTO_PAIS;P_FUENTE_INFO_PAIS_1;P_DELITO_PRONOSTICO__1;Pronostico_robo_vivienda
Biobío;2;30-39;Mujer;Chilena;Educación secundaria;Soltero;Empleado;NSE bajo;Aumentó;Redes sociales;1;Si
Metropolitana;3;60-69;Mujer;Chilena;Educación secundaria;Conviviente;Cesante;NSE bajo;Aumentó;Noticias;0;No
Metropolitana;4;60-69;Hombre;Extranjero;Educación superior;Casado;Empleado;NSE medio;Aumentó;Redes sociales;0;No
Metropolitana;1;40-49;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE alto;Aumentó;Periódico nacional;0;No
Metropolitana;4;30-39;Mujer;Chilena;Educación superior;Casado;Empleado;NSE medio;Aumentó;Otras personas;0;No
Valparaíso;3;40-49;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE medio;Disminuyó;Experiencias;0;No
Coquimbo;2;30-39;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE alto;Aumentó;Noticias;0;No
Ñuble;3;60-69;Hombre;Chilena;Educación secundaria;Casado;Empleado;NSE bajo;Aumentó;Noticias;0;No
Ñuble;3;40-49;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Redes sociales;1;Si
Tarapacá;1;30-39;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE alto;Aumentó;Experiencias;0;No
Metropolitana;3;40-49;Hombre;Extranjero;Educación superior;Conviviente;Empleado;NSE bajo;Aumentó;Noticias;0;No
Valparaíso;2;20-29;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Redes sociales;0;No
Metropolitana;2;60-69;Hombre;Chilena;Educación básica;Soltero;Cesante;NSE bajo;Aumentó;Noticias;0;No
Los Ríos;1;>70;Hombre;Chilena;Educación básica;Soltero;Cesante;NSE bajo;Aumentó;Radio;0;No
Metropolitana;4;40-49;Mujer;Chilena;Educación secundaria;Casado;Cesante;NSE bajo;Aumentó;Noticias;0;No
Valparaíso;3;30-39;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Redes sociales;1;Si
Biobío;2;50-59;Mujer;Chilena;Educación superior;Conviviente;Empleado;NSE alto;Aumentó;Radio;0;No
Metropolitana;3;50-59;Mujer;Chilena;Educación superior;Separado;Empleado;NSE alto;Aumentó;Experiencias;0;No
Antofagasta;7;30-39;Mujer;Chilena;Educación superior;Conviviente;Cesante;NSE medio;Aumentó;Redes sociales;0;No
Valparaíso;2;50-59;Mujer;Chilena;Educación secundaria;Separado;Cesante;NSE bajo;Aumentó;Noticias;0;No
Valparaíso;6;30-39;Mujer;Chilena;Educación secundaria;Soltero;Cesante;NSE bajo;Aumentó;Noticias;0;No
Maule;2;50-59;Mujer;Chilena;Educación básica;Separado;Empleado;NSE bajo;Aumentó;Otras personas;0;No
Tarapacá;3;60-69;Mujer;Chilena;Educación superior;Casado;Empleado;NSE alto;Se mantuvo;Noticias;0;No
Biobío;2;>70;Hombre;Chilena;Educación superior;Casado;Cesante;NSE medio;Aumentó;Noticias;0;No
Tarapacá;3;30-39;Mujer;Chilena;Educación superior;Soltero;Cesante;NSE bajo;Aumentó;TV;0;No
Antofagasta;3;30-39;Mujer;Chilena;Educación secundaria;Conviviente;Empleado;NSE medio;Aumentó;Noticias;0;No
Metropolitana;1;50-59;Hombre;Chilena;Educación superior;Casado;Empleado;NSE alto;Aumentó;Noticias;0;No
Valparaíso;2;60-69;Mujer;Chilena;Educación secundaria;Soltero;Cesante;NSE medio;Aumentó;Noticias;0;No
Magallanes;1;20-29;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Redes sociales;0;No
Metropolitana;2;50-59;Mujer;Chilena;Educación secundaria;Viudo;Empleado;NSE medio;Aumentó;Otras personas;0;No
Antofagasta;1;50-59;Hombre;Chilena;Educación secundaria;Separado;Empleado;NSE medio;Aumentó;Redes sociales;0;No
Coquimbo;3;15-19;Mujer;Chilena;Educación secundaria;Soltero;Cesante;NSE bajo;Aumentó;Redes sociales;0;No
Metropolitana;4;40-49;Hombre;Chilena;Educación secundaria;Casado;Empleado;NSE bajo;Aumentó;Noticias;0;No
Arica y Parinacota;5;20-29;Hombre;Chilena;Educación secundaria;Conviviente;Cesante;NSE medio;Aumentó;Noticias;0;No
Coquimbo;6;40-49;Hombre;Chilena;Educación secundaria;Separado;Empleado;NSE medio;Aumentó;Noticias;0;No
Maule;2;50-59;Mujer;Chilena;Educación básica;Soltero;Cesante;NSE bajo;Aumentó;Noticias;0;No
Los lagos;3;>70;Hombre;Chilena;Educación básica;Casado;Empleado;NSE bajo;Aumentó;Noticias;0;No
Metropolitana;2;50-59;Mujer;Chilena;Educación básica;Soltero;Cesante;NSE bajo;Aumentó;Redes sociales;1;Si
Tarapacá;2;15-19;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE bajo;Aumentó;Redes sociales;0;No
Maule;4;50-59;Mujer;Chilena;Educación secundaria;Casado;Cesante;NSE bajo;Aumentó;Noticias;1;Si
Valparaíso;1;30-39;Mujer;Extranjero;Educación superior;Soltero;Empleado;NSE alto;Aumentó;Otras personas;0;No
Magallanes;2;40-49;Mujer;Chilena;Educación básica;Separado;Cesante;NSE medio;Aumentó;Periódico nacional;0;No
Valparaíso;3;20-29;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Redes sociales;1;Si
Los Ríos;2;40-49;Mujer;Chilena;Educación secundaria;Soltero;Cesante;NSE bajo;Aumentó;Noticias;0;No
Maule;2;15-19;Mujer;Chilena;Educación superior;Soltero;Cesante;NSE bajo;Aumentó;Redes sociales;0;No
Tarapacá;5;60-69;Mujer;Chilena;Educación secundaria;Separado;Cesante;NSE alto;Aumentó;Noticias;0;No
Coquimbo;2;60-69;Mujer;Chilena;Educación secundaria;Soltero;Cesante;NSE medio;Aumentó;Noticias;1;Si
Valparaíso;2;15-19;Hombre;Chilena;Educación básica;Soltero;Cesante;NSE alto;Aumentó;Redes sociales;0;No
Metropolitana;2;60-69;Hombre;Chilena;Educación superior;Conviviente;Empleado;NSE bajo;Aumentó;Noticias;0;No
Valparaíso;2;60-69;Hombre;Chilena;Educación secundaria;Casado;Cesante;NSE medio;Aumentó;Noticias;1;Si
Magallanes;2;30-39;Hombre;Chilena;Educación secundaria;Soltero;Cesante;NSE medio;Aumentó;Otras personas;0;No
Ohiggins;1;60-69;Hombre;Chilena;Educación secundaria;Separado;Empleado;NSE medio;Aumentó;Noticias;0;No
Coquimbo;4;30-39;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Noticias;0;No
Los Ríos;2;50-59;Mujer;Chilena;Educación secundaria;Soltero;Cesante;NSE bajo;Aumentó;Noticias;0;No
Valparaíso;3;60-69;Mujer;Chilena;Educación secundaria;Soltero;Empleado;NSE bajo;Aumentó;Noticias;0;No
Valparaíso;4;30-39;Hombre;Chilena;Educación superior;Conviviente;Empleado;NSE medio;Aumentó;Radio;0;No
Antofagasta;2;60-69;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Redes sociales;1;Si
Maule;4;30-39;Mujer;Chilena;Educación básica;Soltero;Cesante;NSE bajo;Aumentó;Experiencias;0;No
Maule;4;20-29;Hombre;Chilena;Educación secundaria;Soltero;Empleado;NSE bajo;Aumentó;Noticias;0;No
Maule;7;40-49;Mujer;Chilena;Educación básica;Casado;Empleado;NSE bajo;Aumentó;Noticias;0;No
Los lagos;3;50-59;Hombre;Chilena;Educación básica;Casado;Cesante;NSE bajo;Aumentó;Noticias;1;Si
Maule;2;30-39;Mujer;Chilena;Educación secundaria;Soltero;Cesante;NSE medio;Aumentó;Redes sociales;0;No
Biobío;3;30-39;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Noticias;0;No
Antofagasta;2;20-29;Hombre;Chilena;Educación secundaria;Conviviente;Empleado;NSE alto;Aumentó;Redes sociales;1;Si
Biobío;2;40-49;Mujer;Chilena;Educación superior;Separado;Empleado;NSE medio;Aumentó;Redes sociales;0;No
Metropolitana;4;15-19;Mujer;Extranjero;Educación secundaria;Soltero;Cesante;NSE bajo;Se mantuvo;Redes sociales;0;No
Antofagasta;4;30-39;Mujer;Extranjero;Educación secundaria;Conviviente;Cesante;NSE bajo;Aumentó;Noticias;0;No
Ohiggins;5;40-49;Hombre;Extranjero;Educación superior;Casado;Empleado;NSE medio;Aumentó;Redes sociales;0;No
Metropolitana;2;30-39;Hombre;Chilena;Educación superior;Separado;Empleado;NSE medio;Aumentó;Noticias;0;No
Maule;2;60-69;Hombre;Chilena;Educación secundaria;Separado;Empleado;NSE medio;Aumentó;Noticias;0;No
Antofagasta;4;30-39;Mujer;Chilena;Educación superior;Soltero;Cesante;NSE alto;Aumentó;Redes sociales;0;No
Valparaíso;5;40-49;Hombre;Chilena;Educación superior;Casado;Empleado;NSE medio;Aumentó;Otras personas;0;No
Metropolitana;2;20-29;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Noticias;1;Si
Valparaíso;4;20-29;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Redes sociales;0;No
Valparaíso;4;15-19;Hombre;Chilena;Educación secundaria;Soltero;Cesante;NSE medio;Aumentó;Noticias;0;No
Metropolitana;2;>70;Hombre;Chilena;Educación superior;Separado;Empleado;NSE medio;Se mantuvo;Redes sociales;0;No
Aysén;3;40-49;Mujer;Chilena;Educación superior;Casado;Empleado;NSE alto;Aumentó;Redes sociales;0;No
Los lagos;2;60-69;Mujer;Chilena;Educación secundaria;Casado;Empleado;NSE medio;Aumentó;Redes sociales;0;No
Ohiggins;1;60-69;Hombre;Chilena;Educación superior;Separado;Empleado;NSE alto;Aumentó;Otras personas;0;No
Valparaíso;3;20-29;Hombre;Chilena;Educación superior;Conviviente;Empleado;NSE bajo;Aumentó;Redes sociales;0;No
Valparaíso;3;40-49;Hombre;Chilena;Educación superior;Soltero;Cesante;NSE medio;Aumentó;Noticias;0;No
Arica y Parinacota;2;30-39;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE alto;Aumentó;Redes sociales;0;No
Arica y Parinacota;1;40-49;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE alto;Aumentó;Otras personas;0;No
Valparaíso;2;40-49;Hombre;Chilena;Educación secundaria;Soltero;Cesante;NSE medio;Se mantuvo;Periódico regional;0;No
Los Ríos;6;30-39;Mujer;Chilena;Educación secundaria;Casado;Cesante;NSE bajo;Aumentó;Redes sociales;1;Si
Metropolitana;4;50-59;Mujer;Chilena;Educación secundaria;Conviviente;Empleado;NSE bajo;Aumentó;Noticias;0;No
Tarapacá;8;20-29;Hombre;Chilena;Educación secundaria;Soltero;Empleado;NSE bajo;Aumentó;Redes sociales;0;No
Metropolitana;2;>70;Mujer;Chilena;Educación secundaria;Casado;Cesante;NSE medio;Aumentó;Noticias;0;No
Metropolitana;4;50-59;Mujer;Chilena;Educación secundaria;Soltero;Cesante;NSE bajo;Aumentó;Redes sociales;0;No
Arica y Parinacota;6;20-29;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE bajo;Aumentó;Noticias;0;No
Metropolitana;6;60-69;Hombre;Chilena;Educación básica;Conviviente;Empleado;NSE bajo;Aumentó;Noticias;0;No
Valparaíso;3;30-39;Mujer;Chilena;Educación superior;Conviviente;Empleado;NSE alto;Aumentó;TV;0;No
Tarapacá;3;60-69;Mujer;Chilena;Educación superior;Conviviente;Cesante;NSE medio;Aumentó;Radio;0;No
Arica y Parinacota;1;40-49;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE alto;Aumentó;Noticias;0;No
Los Ríos;2;30-39;Mujer;Chilena;Educación secundaria;Soltero;Empleado;NSE medio;Se mantuvo;Redes sociales;1;Si
Ñuble;1;>70;Mujer;Chilena;Educación secundaria;Separado;Cesante;NSE medio;Aumentó;Noticias;0;No
Arica y Parinacota;4;50-59;Hombre;Chilena;Educación secundaria;Casado;Empleado;NSE bajo;Aumentó;Noticias;1;Si
Antofagasta;3;40-49;Mujer;Extranjero;Educación secundaria;Conviviente;Cesante;NSE alto;Aumentó;Experiencias;0;No
Biobío;1;20-29;Hombre;Chilena;Educación secundaria;Soltero;Empleado;NSE medio;Aumentó;Noticias;0;No
Coquimbo;4;40-49;Mujer;Chilena;Educación superior;Separado;Empleado;NSE medio;Aumentó;Redes sociales;1;Si
Arica y Parinacota;3;20-29;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Otras personas;1;Si
Magallanes;2;60-69;Mujer;Chilena;Educación secundaria;Casado;Cesante;NSE medio;Aumentó;Noticias;0;No
Tarapacá;5;30-39;Mujer;Chilena;Educación superior;Casado;Cesante;NSE medio;Aumentó;Redes sociales;0;No
Metropolitana;4;30-39;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Noticias;0;No
Coquimbo;6;30-39;Mujer;Chilena;Educación secundaria;Casado;Cesante;NSE medio;Aumentó;Noticias;1;Si
Atacama;4;40-49;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Redes sociales;1;Si
Ñuble;1;>70;Hombre;Chilena;Sin educación formal;Viudo;Cesante;NSE bajo;Aumentó;Experiencias;0;No
Los Ríos;4;50-59;Hombre;Chilena;Educación secundaria;Conviviente;Empleado;NSE bajo;Aumentó;Redes sociales;0;No
Ohiggins;2;>70;Hombre;Chilena;Educación secundaria;Casado;Cesante;NSE medio;Aumentó;Noticias;0;No
Los Ríos;2;60-69;Hombre;Chilena;Educación secundaria;Casado;Empleado;NSE bajo;Se mantuvo;Noticias;1;Si
Antofagasta;3;30-39;Hombre;Chilena;Educación superior;Casado;Empleado;NSE alto;Aumentó;Redes sociales;0;No
Los lagos;3;40-49;Hombre;Chilena;Educación superior;Conviviente;Empleado;NSE alto;Aumentó;Redes sociales;0;No
Antofagasta;2;40-49;Hombre;Extranjero;Educación superior;Conviviente;Empleado;NSE alto;Aumentó;Noticias;0;No
Ñuble;3;20-29;Hombre;Chilena;Educación secundaria;Soltero;Empleado;NSE medio;Aumentó;Radio;0;No
Los Ríos;1;30-39;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Redes sociales;0;No
Los lagos;5;40-49;Mujer;Chilena;Educación superior;Conviviente;Empleado;NSE medio;Aumentó;Redes sociales;0;No
Antofagasta;4;30-39;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE bajo;Aumentó;Periódico nacional;0;No
Los Ríos;2;15-19;Mujer;Chilena;Educación secundaria;Soltero;Cesante;NSE bajo;Se mantuvo;Noticias;0;No
Arica y Parinacota;5;20-29;Hombre;Chilena;Educación superior;Soltero;Cesante;NSE bajo;Aumentó;Noticias;0;No
Arica y Parinacota;2;20-29;Hombre;Chilena;Educación secundaria;Soltero;Empleado;NSE bajo;Se mantuvo;Redes sociales;0;No
Los lagos;5;30-39;Hombre;Chilena;Educación secundaria;Conviviente;Empleado;NSE medio;Se mantuvo;Redes sociales;0;No
Coquimbo;4;40-49;Mujer;Chilena;Educación secundaria;Separado;Empleado;NSE bajo;Aumentó;Otras personas;0;No
Metropolitana;4;40-49;Mujer;Chilena;Educación secundaria;Conviviente;Empleado;NSE bajo;Aumentó;Noticias;0;No
Antofagasta;4;15-19;Hombre;Chilena;Educación secundaria;Soltero;Cesante;NSE alto;Se mantuvo;Redes sociales;0;No
Arica y Parinacota;2;20-29;Mujer;Chilena;Educación superior;Soltero;Cesante;NSE medio;Aumentó;Redes sociales;0;No
Valparaíso;3;30-39;Hombre;Chilena;Educación secundaria;Separado;Empleado;NSE medio;Aumentó;Noticias;0;No
Valparaíso;1;30-39;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Noticias;0;No
Valparaíso;5;20-29;Mujer;Chilena;Educación secundaria;Soltero;Cesante;NSE bajo;Aumentó;Redes sociales;0;No
Maule;2;20-29;Mujer;Chilena;Educación secundaria;Soltero;Empleado;NSE medio;Aumentó;Redes sociales;0;No
Antofagasta;1;20-29;Mujer;Extranjero;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Noticias;0;No
Arica y Parinacota;3;30-39;Mujer;Chilena;Educación superior;Conviviente;Empleado;NSE alto;Aumentó;Redes sociales;0;No
Arica y Parinacota;2;40-49;Mujer;Chilena;Educación secundaria;Soltero;Cesante;NSE bajo;Aumentó;Noticias;1;Si
Antofagasta;1;60-69;Mujer;Chilena;Educación básica;Separado;Cesante;NSE bajo;Aumentó;Familiar;1;Si
Los Ríos;6;20-29;Mujer;Extranjero;Educación secundaria;Soltero;Empleado;NSE medio;Aumentó;Noticias;1;Si
Metropolitana;7;30-39;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Noticias;0;No
Valparaíso;5;>70;Hombre;Chilena;Educación básica;Casado;Cesante;NSE bajo;Aumentó;Noticias;1;Si
Ohiggins;3;50-59;Hombre;Chilena;Educación superior;Casado;Empleado;NSE alto;Aumentó;Periódico nacional;0;No
Magallanes;4;20-29;Mujer;Chilena;Educación superior;Soltero;Cesante;NSE medio;Aumentó;Noticias;0;No
La Araucanía;4;30-39;Hombre;Chilena;Educación superior;Casado;Empleado;NSE medio;Aumentó;Noticias;0;No
Aysén;3;15-19;Mujer;Chilena;Educación secundaria;Soltero;Cesante;NSE medio;Aumentó;Redes sociales;1;Si
Magallanes;3;20-29;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE bajo;Aumentó;Redes sociales;0;No
Ñuble;4;50-59;Hombre;Chilena;Educación básica;Casado;Empleado;NSE bajo;Aumentó;Otras personas;0;No
Los Ríos;4;40-49;Mujer;Chilena;Educación secundaria;Conviviente;Cesante;NSE bajo;Aumentó;Redes sociales;0;No
Metropolitana;7;60-69;Hombre;Chilena;Educación básica;Soltero;Empleado;NSE bajo;Aumentó;Noticias;0;No
Tarapacá;2;40-49;Mujer;Chilena;Educación superior;Conviviente;Empleado;NSE medio;Aumentó;Experiencias;0;No
Valparaíso;2;>70;Mujer;Chilena;Educación secundaria;Casado;Cesante;NSE bajo;Aumentó;Noticias;0;No
Valparaíso;3;50-59;Hombre;Chilena;Educación superior;Casado;Empleado;NSE medio;Aumentó;Noticias;0;No
Valparaíso;4;30-39;Mujer;Chilena;Educación superior;Soltero;Cesante;NSE bajo;Aumentó;Noticias;0;No
Valparaíso;2;20-29;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE medio;Se mantuvo;Redes sociales;0;No
Metropolitana;7;60-69;Mujer;Chilena;Educación básica;Casado;Cesante;NSE bajo;Aumentó;Noticias;0;No
Ñuble;2;>70;Hombre;Chilena;Educación básica;Casado;Cesante;NSE bajo;Aumentó;Noticias;0;No
Biobío;1;60-69;Hombre;Chilena;Educación secundaria;Soltero;Empleado;NSE medio;Aumentó;Noticias;0;No
Arica y Parinacota;4;15-19;Hombre;Chilena;Educación secundaria;Soltero;Cesante;NSE bajo;Aumentó;Redes sociales;0;No
Ñuble;3;40-49;Hombre;Chilena;Educación superior;Conviviente;Empleado;NSE alto;Aumentó;Redes sociales;0;No
Arica y Parinacota;2;60-69;Mujer;Chilena;Educación secundaria;Casado;Cesante;NSE medio;Aumentó;Noticias;0;No
Biobío;3;50-59;Mujer;Chilena;Educación superior;Separado;Empleado;NSE alto;Aumentó;Noticias;0;No
Valparaíso;3;30-39;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Redes sociales;0;No
Los lagos;4;15-19;Mujer;Chilena;Educación secundaria;Soltero;Cesante;NSE medio;Aumentó;Redes sociales;0;No
Ñuble;3;60-69;Hombre;Chilena;Educación secundaria;Casado;Empleado;NSE medio;Aumentó;Noticias;0;No
Los Ríos;1;40-49;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Redes sociales;1;Si
Metropolitana;1;50-59;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Experiencias;1;Si
Biobío;3;40-49;Mujer;Chilena;Educación superior;Casado;Empleado;NSE alto;Aumentó;Noticias;0;No
Aysén;1;>70;Mujer;Chilena;Educación secundaria;Soltero;Cesante;NSE bajo;Aumentó;Noticias;1;Si
Los Ríos;4;50-59;Mujer;Chilena;Educación secundaria;Conviviente;Cesante;NSE bajo;Aumentó;Radio;1;Si
Metropolitana;4;50-59;Mujer;Chilena;Educación secundaria;Soltero;Empleado;NSE bajo;Aumentó;Noticias;0;No
Metropolitana;4;60-69;Hombre;Chilena;Educación secundaria;Soltero;Cesante;NSE medio;Aumentó;Noticias;0;No
Biobío;2;60-69;Mujer;Chilena;Educación secundaria;Casado;Cesante;NSE alto;Aumentó;Noticias;0;No
Atacama;6;50-59;Mujer;Chilena;Educación secundaria;Casado;Cesante;NSE bajo;Aumentó;TV;1;Si
La Araucanía;1;60-69;Hombre;Chilena;Educación básica;Separado;Empleado;NSE bajo;Aumentó;Radio;0;No
Metropolitana;1;>70;Mujer;Chilena;Educación secundaria;Viudo;Cesante;NSE medio;Aumentó;Noticias;0;No
Metropolitana;4;50-59;Hombre;Chilena;Educación básica;Soltero;Empleado;NSE bajo;Aumentó;Experiencias;0;No
Los Ríos;5;50-59;Hombre;Chilena;Educación secundaria;Casado;Empleado;NSE bajo;Aumentó;Redes sociales;0;No
Metropolitana;1;30-39;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE alto;Aumentó;Otras personas;0;No
Maule;4;30-39;Mujer;Chilena;Educación superior;Conviviente;Empleado;NSE alto;Aumentó;Noticias;0;No
Tarapacá;3;30-39;Mujer;Extranjero;Educación superior;Casado;Cesante;NSE alto;Aumentó;Otros;0;No
Metropolitana;2;30-39;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Experiencias;1;Si
Metropolitana;7;40-49;Mujer;Chilena;Educación secundaria;Conviviente;Cesante;NSE bajo;Aumentó;Noticias;0;No
Valparaíso;2;50-59;Mujer;Chilena;Educación básica;Casado;Empleado;NSE bajo;Aumentó;Noticias;0;No
Los Ríos;2;20-29;Hombre;Chilena;Educación secundaria;Conviviente;Empleado;NSE medio;Se mantuvo;Redes sociales;0;No
Biobío;2;40-49;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE alto;Aumentó;Noticias;0;No
Biobío;5;20-29;Mujer;Chilena;Educación superior;Soltero;Cesante;NSE medio;Aumentó;Noticias;0;No
Magallanes;3;40-49;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Noticias;0;No
Arica y Parinacota;7;50-59;Mujer;Chilena;Educación básica;Casado;Cesante;NSE bajo;Aumentó;Noticias;1;Si
Valparaíso;1;50-59;Hombre;Chilena;Educación secundaria;Soltero;Empleado;NSE bajo;Aumentó;Noticias;0;No
Biobío;3;>70;Hombre;Chilena;Educación superior;Casado;Cesante;NSE medio;Aumentó;Noticias;0;No
Biobío;1;50-59;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE alto;Aumentó;Redes sociales;0;No
Los Ríos;2;60-69;Mujer;Chilena;Educación básica;Casado;Cesante;NSE bajo;Aumentó;Noticias;1;Si
Biobío;1;20-29;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE alto;Aumentó;Noticias;1;Si
Magallanes;1;20-29;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Redes sociales;0;No
Valparaíso;6;30-39;Mujer;Chilena;Educación superior;Soltero;Cesante;NSE bajo;Aumentó;Noticias;0;No
Ñuble;5;40-49;Mujer;Chilena;Educación superior;Casado;Empleado;NSE bajo;Aumentó;TV;0;No
Atacama;4;20-29;Mujer;Extranjero;Educación superior;Conviviente;Empleado;NSE bajo;Aumentó;Redes sociales;0;No
Biobío;4;20-29;Mujer;Chilena;Educación superior;Soltero;Cesante;NSE medio;Aumentó;Noticias;0;No
Biobío;2;30-39;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE alto;Aumentó;Noticias;0;No
Los lagos;3;20-29;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE alto;Aumentó;Otras personas;0;No
Biobío;1;40-49;Hombre;Chilena;Educación secundaria;Soltero;Empleado;NSE medio;Aumentó;Otras personas;1;Si
Atacama;3;20-29;Mujer;Chilena;Educación superior;Soltero;Cesante;NSE bajo;Aumentó;Noticias;0;No
Antofagasta;3;15-19;Mujer;Chilena;Educación secundaria;Soltero;Cesante;NSE bajo;Se mantuvo;Redes sociales;0;No
Valparaíso;4;20-29;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Redes sociales;0;No
Arica y Parinacota;4;20-29;Hombre;Chilena;Educación superior;Soltero;Cesante;NSE bajo;Aumentó;Redes sociales;0;No
Metropolitana;7;30-39;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Noticias;1;Si
Antofagasta;2;50-59;Mujer;Chilena;Educación secundaria;Casado;Cesante;NSE medio;Aumentó;Noticias;0;No
Valparaíso;2;50-59;Mujer;Chilena;Educación superior;Separado;Empleado;NSE medio;Aumentó;Redes sociales;0;No
Coquimbo;4;40-49;Mujer;Chilena;Educación secundaria;Soltero;Empleado;NSE bajo;Aumentó;Noticias;0;No
Coquimbo;2;50-59;Mujer;Chilena;Educación secundaria;Casado;Empleado;NSE medio;Aumentó;Otros;1;Si
Aysén;2;40-49;Mujer;Chilena;Educación secundaria;Soltero;Empleado;NSE medio;Aumentó;Noticias;1;Si
Biobío;1;50-59;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE alto;Aumentó;Noticias;0;No
Valparaíso;2;30-39;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Redes sociales;0;No
Metropolitana;4;50-59;Hombre;Chilena;Educación básica;Conviviente;Empleado;NSE bajo;Aumentó;Redes sociales;0;No
Coquimbo;2;60-69;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Noticias;1;Si
Metropolitana;4;30-39;Hombre;Chilena;Educación superior;Casado;Empleado;NSE alto;Aumentó;Experiencias;0;No
Biobío;2;>70;Mujer;Chilena;Educación superior;Casado;Cesante;NSE medio;Aumentó;Noticias;0;No
Biobío;3;20-29;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE bajo;Aumentó;Redes sociales;0;No
Metropolitana;5;30-39;Hombre;Chilena;Educación superior;Casado;Empleado;NSE alto;Aumentó;TV;0;No
Metropolitana;3;20-29;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Redes sociales;0;No
Los lagos;3;60-69;Mujer;Chilena;Educación básica;Casado;Cesante;NSE bajo;Aumentó;Noticias;0;No
Biobío;5;20-29;Hombre;Chilena;Educación superior;Soltero;Cesante;NSE alto;Aumentó;Redes sociales;0;No
Magallanes;4;30-39;Mujer;Chilena;Educación superior;Conviviente;Empleado;NSE bajo;Aumentó;Noticias;0;No
Metropolitana;2;50-59;Mujer;Chilena;Educación secundaria;Conviviente;Empleado;NSE medio;Aumentó;Noticias;0;No
Metropolitana;4;40-49;Hombre;Chilena;Educación superior;Casado;Empleado;NSE alto;Aumentó;Familiar;0;No
La Araucanía;1;40-49;Hombre;Chilena;Educación secundaria;Soltero;Empleado;NSE bajo;Aumentó;Radio;1;Si
Metropolitana;2;30-39;Mujer;Extranjero;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Experiencias;0;No
Antofagasta;2;40-49;Mujer;Chilena;Educación superior;Separado;Empleado;NSE medio;Aumentó;Otras personas;0;No
Valparaíso;1;50-59;Mujer;Chilena;Educación superior;Soltero;Cesante;NSE medio;Aumentó;Noticias;0;No
